,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Found Terms,Full term name
74,REPTILIA,TESTUDINATA,TESTUDINIDAE,Geochelone ,Geochelone sulcata,,LIV,0,0,0,0,2,2,0,7,0,1,0,1,2,70,9,56,0,211,97,130,770,477,419,1085,1410,1946,2012,1917,3158,1606,1301,1574,537,1853,1560,654,665,285,409,1503,LIV,live
75,HIRUDINOIDEA,ARHYNCHOBDELLAE,HIRUDINIDAE,Hirudo,Hirudo medicinalis,,LIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22875,30250,22000,50000,32100,320900,347332,322513,106020,14000,84500,33000,45500,90000,93240,73000,58334,83000,105000,105000,60000,83000,120000,120000,1.00E+05,120000,LIV,live
76,MAMMALIA,CARNIVORA,FELIDAE,Panthera,Panthera tigris,,LIV,0,4,10,0,0,2,10,1,7,0,3,26,5,6,10,20,30,22,26,10,24,7,61,44,40,35,16,41,90,49,45,28,10,22,14,23,31,12,16,6,LIV,live
78,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python molurus+Python molurus molurus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,153,0,3,0,2,0,0,0,183,561,30,135,94,3,LEA+LPL+LPS+SHO+SKO,leather products and items
79,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus siamensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,12,0,0,0,0,0,0,0,0,0,77,3,149,138,237,2518,1091,7754,1329,615,1451,1183,391,468,351,LEA+LPL+LPS+SHO+SKO,leather products and items
82,MAMMALIA,CETACEA,MONODONTIDAE,Monodon,Monodon monoceros,KIL,MEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,100,0,0,0,353,375.5,383.67,81,2036.2,0,0,0,636.6,127.08,195.8,135,0,0,0,0,0,0,0,0,0,MEA,meat
83,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus zebra hartmannae,,SKI,0,0,0,0,0,63,78,757,54,26,109,106,111,147,134,55,109,74,144,219,205,207,253,276,292,325,387,405,501,440,727,563,529,850,884,759,856,789,705,695,SKI,skins
84,MAMMALIA,CARNIVORA,FELIDAE,Lynx ,Lynx lynx,,SKI+SKP,0,0,368,299,1948,2511,1450,1236,1107,1092,2746,7442,4260,2052,1290,1010,1666,1514,193,413,142,231,285,1,8,0,1,6,0,1,2,1,0,0,1,0,1,1,0,0,SKI+SKP,skins & skin pieces
85,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python molurus+Python molurus molurus,,SID+SKD+SKI+SKP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8088,0,0,0,0,0,0,0,12250,22102,69663,0,0,0,SID+SKI+SKP,"sides, skins & skin pieces"
87,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python sebae,,SID+SKD+SKI+SKP,0,9,0,0,101,4,2,5541,91,346,766,3557,9047,36935,36043,18394,16644,7704,6813,4152,8547,16373,25633,22447,1209,16785,9778,3856,867,265,3363,4050,1510,1000,2072,2,1,2,1,15,SID+SKI+SKP,"sides, skins & skin pieces"
88,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus niloticus,,SKU,0,0,0,0,0,0,2,0,1,3,1,7,8,4,4,3,3,4,1,4,19,140,17,56,15,51,1627,608,1803,810,116,715,2884,3043,11,5,212,17,29,6,SKU,skulls
89,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus porosus,,SKU,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,3,9,3,9,5,25,8,14,7,4,0,2,1,2,1,20,7,16,3,SKU,skulls
