,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
56,ELASMOBRANCHII,LAMNIFORMES,LAMNIDAE,Carcharodon,Carcharodon carcharias,,TEE,,,,,,,,,,,,,,,,,,,,,,,,,,,III,III,III,III,II,II,II,II,II,II,II,II,II,II
57,MAMMALIA,CETACEA,PHYSETERIDAE,Physeter ,Physeter macrocephalus,,TEE,,,,,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
58,AVES,STRIGIFORMES,STRIGIDAE,Asio ,Asio otus,,BOD,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
59,REPTILIA,TESTUDINATA,CHELONIIDAE,Chelonia,Chelonia mydas,,BOD+CAP,II,II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
60,AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco tinnunculus,,BOD,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
61,REPTILIA,SERPENTES,ELAPIDAE,Ophiophagus ,Ophiophagus hannah,,BOD,,,,,,,,,,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
62,ARACHNIDA,SCORPIONES,SCORPIONIDAE,Pandinus,Pandinus imperator,,BOD,,,,,,,,,,,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
63,REPTILIA,SERPENTES,COLUBRIDAE,Ptyas,Ptyas mucosus,,BOD,,,,,,,,,,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
65,REPTILIA,TESTUDINATA,CHELONIIDAE,Eretmochelys,Eretmochelys imbricata,,BOD+CAP,,,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
66,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo graeca,,BOD+CAP,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
67,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Acipenseriformes,KIL,CAV,,,,,,,,,,,,,,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
70,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,Amazona amazonica,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
71,REPTILIA,TESTUDINATA,TESTUDINIDAE,Astrochelys,Astrochelys radiata,,LIV,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
72,REPTILIA,SERPENTES,BOIDAE,Boa,Boa constrictor,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
73,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis lupus,,LIV,,,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
74,REPTILIA,TESTUDINATA,TESTUDINIDAE,Geochelone ,Geochelone sulcata,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
75,HIRUDINOIDEA,ARHYNCHOBDELLAE,HIRUDINIDAE,Hirudo,Hirudo medicinalis,,LIV,,,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
76,MAMMALIA,CARNIVORA,FELIDAE,Panthera,Panthera tigris,,LIV,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
78,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python molurus+Python molurus molurus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
79,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus siamensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
82,MAMMALIA,CETACEA,MONODONTIDAE,Monodon,Monodon monoceros,KIL,MEA,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
83,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus zebra hartmannae,,SKI,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
84,MAMMALIA,CARNIVORA,FELIDAE,Lynx ,Lynx lynx,,SKI+SKP,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
85,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python molurus+Python molurus molurus,,SID+SKD+SKI+SKP,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
87,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python sebae,,SID+SKD+SKI+SKP,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
88,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus niloticus,,SKU,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
89,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus porosus,,SKU,II,II,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
